gene	score	zlfc	RRA	RRA_Score_down	RRA_Score_down_adj	RRA_Score_up	RRA_Score_up_adj	essential ranking	enrich ranking
CIB4	-1.113844638	-0.291613111	0.150480409	0.150480409	1	0.740374125	1	2938	14896
XYLT2	-1.113506688	-0.714270252	0.398707726	0.398707726	1	1	1	2939	14895
CDK5RAP2	-1.110976028	-0.459365134	0.222943261	0.222943261	1	1	1	2940	14894
SUFU	-1.109755102	-0.437281943	0.212482173	0.212482173	1	1	1	2941	14893
CLASP2	-1.109736728	-0.452570763	0.220108478	0.220108478	1	1	1	2942	14892
DEFB114	-1.109687836	-0.446860631	0.217256582	0.217256582	1	1	1	2943	14891
PKD1L3	-1.107671589	-0.613542127	0.320431369	0.320431369	1	1	1	2944	14890
FMNL3	-1.106171571	-0.674757162	0.370227183	0.370227183	1	1	1	2945	14889
USP25	-1.105758308	-0.595679498	0.30887347	0.30887347	1	1	1	2946	14888
CSRNP1	-1.10556109	-0.457627637	0.224839925	0.224839925	1	1	1	2947	14887
FAM114A1	-1.104090901	-0.261129349	0.143461653	0.143461653	0.986628491	1	1	2948	14886
CWC25	-1.103661556	-0.53919182	0.27250277	0.27250277	1	1	1	2949	14885
ST8SIA3	-1.103642021	-0.414876503	0.204654984	0.204654984	1	1	1	2950	14884
MMP7	-1.102209255	-0.256410089	0.1425267	0.1425267	0.981343104	1	1	2951	14883
IGF1R	-1.101158874	-0.30498202	0.159790679	0.159790679	1	1	1	2952	14882
FBXO47	-1.101004348	-0.582863146	0.303190494	0.303190494	1	1	1	2953	14881
CDCA8	-1.100745008	-0.680334881	0.379730533	0.379730533	1	1	1	2954	14880
APLP1	-1.100321914	-0.459226408	0.228409623	0.228409623	1	1	1	2955	14879
TNK1	-1.099812415	-0.490384332	0.245694362	0.245694362	1	1	1	2956	14878
SECISBP2L	-1.096417053	-0.63046632	0.341918239	0.341918239	1	1	1	2957	14877
COL4A3	-1.09640711	-0.191507275	0.124380168	0.124380168	0.882638891	1	1	2958	14876
SHROOM1	-1.093830216	-0.375521317	0.191189486	0.191189486	1	1	1	2959	14875
LIPK	-1.093468016	-0.480537577	0.243720132	0.243720132	1	1	1	2960	14874
TMEM63B	-1.093269747	-0.51683178	0.265092986	0.265092986	1	1	1	2961	14873
APC	-1.093200782	-0.327202489	0.171296404	0.171296404	1	1	1	2962	14872
C9orf69	-1.09293699	-0.591830051	0.315322784	0.315322784	1	1	1	2963	14871
HIST1H2BD	-1.092265049	-0.613981006	0.332342054	0.332342054	1	1	1	2964	14870
NCK2	-1.091629733	-0.368966005	0.189280942	0.189280942	1	1	1	2965	14869
ARPC5	-1.091534052	-0.488320612	0.249236903	0.249236903	1	1	1	2966	14868
SLC38A9	-1.091316002	-0.360656857	0.185826312	0.185826312	1	1	1	2967	14867
ZNF415	-1.090911318	-0.525451309	0.271881892	0.271881892	1	1	1	2968	14866
ORC3	-1.090134726	-0.727362689	0.43363849	0.43363849	1	1	1	2969	14865
LMO2	-1.089546124	-0.617415034	0.337085515	0.337085515	1	1	1	2970	14864
HTR3E	-1.089352452	-0.539600425	0.281899263	0.281899263	1	1	1	2971	14863
CDRT1	-1.088655399	-0.389171468	0.199663468	0.199663468	1	1	1	2972	14862
FLYWCH2	-1.086465222	-0.566832289	0.302150527	0.302150527	1	1	1	2973	14861
ADAM2	-1.086251513	-0.544968359	0.2874523	0.2874523	1	1	1	2974	14860
IQCF2	-1.086239764	-0.468085216	0.2408048	0.2408048	1	1	1	2975	14859
GON4L	-1.085905558	-0.601495311	0.327685511	0.327685511	1	1	1	2976	14858
MUSK	-1.085239945	-0.408517634	0.210412403	0.210412403	1	1	1	2977	14857
UBE2Z	-1.08392753	-0.350921854	0.184824445	0.184824445	1	0.424950614	1	2978	14856
NEK11	-1.08345565	-0.631333594	0.352983924	0.352983924	1	1	1	2979	14855
GSTT2	-1.082707314	-0.214182267	0.135255203	0.135255203	0.941090669	1	1	2980	14854
SHC3	-1.082264181	-0.735728755	0.450161251	0.450161251	1	1	1	2981	14853
KIF13B	-1.080397851	-0.549791924	0.294609458	0.294609458	1	1	1	2982	14852
TMEM33	-1.079010527	-0.550760949	0.296212807	0.296212807	1	1	1	2983	14851
TMPRSS13	-1.078549553	-0.39688893	0.208032249	0.208032249	1	1	1	2984	14850
G3BP1	-1.077564529	-0.79966632	0.52725345	0.52725345	1	1	1	2985	14849
RASL10A	-1.077393803	-0.530712608	0.283900304	0.283900304	1	1	1	2986	14848
G2E3	-1.077179333	-0.46006232	0.241381012	0.241381012	1	1	1	2987	14847
OSM	-1.076705013	-0.457784228	0.240380139	0.240380139	1	1	1	2988	14846
SLC17A5	-1.075631032	-0.523937859	0.280641636	0.280641636	1	1	1	2989	14845
MAP3K7	-1.07538602	-0.635184541	0.362809654	0.362809654	1	1	1	2990	14844
IKBKG	-1.075334026	-0.674356628	0.397112221	0.397112221	1	1	1	2991	14843
SAA4	-1.074297432	-0.267624775	0.155972844	0.155972844	1	1	1	2992	14842
DIAPH1	-1.073737169	-0.445705995	0.235388024	0.235388024	1	1	1	2993	14841
LCN10	-1.07364464	-0.446911575	0.236092952	0.236092952	1	1	1	2994	14840
GABRR3	-1.07288685	-0.335157605	0.182824027	0.182824027	1	1	1	2995	14839
TRIP4	-1.072631129	-0.630149186	0.360909023	0.360909023	1	1	1	2996	14838
TOP2B	-1.072065903	-0.348688234	0.188969873	0.188969873	1	1	1	2997	14837
TPTE2	-1.071363047	-0.476393505	0.254015091	0.254015091	1	1	1	2998	14836
SFI1	-1.069410311	-0.389580463	0.208911485	0.208911485	1	1	1	2999	14835
CFI	-1.068476075	-0.189614267	0.132071614	0.132071614	0.925435397	1	1	3000	14834
IKZF1	-1.067188879	-0.547117992	0.301845883	0.301845883	1	1	1	3001	14833
ASNSD1	-1.066944812	-0.389966133	0.210288172	0.210288172	1	1	1	3002	14832
ZSCAN12	-1.066743211	-0.413697771	0.222207728	0.222207728	1	1	1	3003	14831
PXK	-1.066678199	-0.5421598	0.298769502	0.298769502	1	1	1	3004	14830
C22orf15	-1.065115766	-0.490258056	0.266059695	0.266059695	1	1	1	3005	14829
AFF2	-1.064958474	-0.451800839	0.243592613	0.243592613	1	1	1	3006	14828
PCDHB2	-1.06287876	-0.398223126	0.216343409	0.216343409	1	1	1	3007	14827
GALK2	-1.062836323	-0.398351327	0.216428469	0.216428469	1	1	1	3008	14826
SCAI	-1.062698067	-0.634062241	0.372604104	0.372604104	1	1	1	3009	14825
ZXDC	-1.062182706	-0.514112683	0.282993551	0.282993551	1	1	1	3010	14824
SLMAP	-1.060999131	-0.78889796	0.534339844	0.534339844	1	1	1	3011	14823
SYCP2	-1.060406883	-0.720366906	0.456946117	0.456946117	1	1	1	3012	14822
TTF2	-1.060009187	-0.681435298	0.418140525	0.418140525	1	1	1	3013	14821
STAMBP	-1.059891743	-0.420397665	0.22925379	0.22925379	1	1	1	3014	14820
COL4A5	-1.059220683	-0.50838498	0.281196479	0.281196479	1	1	1	3015	14819
SYNJ2BP-COX16	-1.058538095	-0.323226389	0.18384513	0.18384513	1	1	1	3016	14818
TOMM34	-1.057948352	-0.519266913	0.289180101	0.289180101	1	1	1	3017	14817
CACNA2D4	-1.057318018	-0.358860868	0.200136317	0.200136317	1	1	1	3018	14816
C19orf67	-1.05614404	-0.561626264	0.320144901	0.320144901	1	1	1	3019	14815
HAUS1	-1.056080865	-0.470503313	0.259570401	0.259570401	1	1	1	3020	14814
ZNF609	-1.056007062	-0.600133888	0.349947375	0.349947375	1	1	1	3021	14813
CRYBB3	-1.055765619	-0.471446188	0.260323738	0.260323738	1	1	1	3022	14812
SURF2	-1.055663029	-0.531912697	0.299298533	0.299298533	1	1	1	3023	14811
YWHAQ	-1.054680502	-0.544502217	0.308802707	0.308802707	1	1	1	3024	14810
SNX31	-1.054190699	-0.416623363	0.230273576	0.230273576	1	1	1	3025	14809
STARD9	-1.053744385	-0.10651327	0.112819484	0.112819484	0.81818213	0.784583502	1	3026	14808
PRR14	-1.052641407	-0.186966859	0.136146531	0.136146531	0.944320895	1	1	3027	14807
PPFIA2	-1.052246185	-0.445669649	0.247313541	0.247313541	1	1	1	3028	14806
KRTDAP	-1.050863332	-0.736997841	0.485338826	0.485338826	1	1	1	3029	14805
BET1	-1.050817534	-0.290093073	0.173390436	0.173390436	1	1	1	3030	14804
SUPT7L	-1.050813685	-0.373313117	0.210035502	0.210035502	1	1	1	3031	14803
PDHA2	-1.050789768	-0.505811283	0.285015951	0.285015951	1	1	1	3032	14802
DZANK1	-1.050074138	-0.484480613	0.271798289	0.271798289	1	1	1	3033	14801
KMT2E	-1.049646534	-0.479361106	0.268876645	0.268876645	1	1	1	3034	14800
ERBB2	-1.049423321	-0.587303284	0.344948356	0.344948356	1	1	1	3035	14799
SEMA4G	-1.048819285	-0.559900956	0.324300616	0.324300616	1	1	1	3036	14798
USP21	-1.048751449	-0.266598695	0.165038086	0.165038086	1	0.927686315	1	3037	14797
KLHL26	-1.048426042	-0.33799969	0.194693135	0.194693135	1	0.830396161	1	3038	14796
AEBP1	-1.048387838	-0.411004067	0.230370969	0.230370969	1	1	1	3039	14795
HSPBAP1	-1.048384958	-0.143698783	0.124441423	0.124441423	0.882722316	0.981140444	1	3040	14794
SEPT2	-1.048141915	-0.668838387	0.417438448	0.417438448	1	1	1	3041	14793
OR6A2	-1.048118539	-0.298029134	0.177691337	0.177691337	1	1	1	3042	14792
C1orf131	-1.047768824	-0.506812173	0.287668563	0.287668563	1	1	1	3043	14791
CCNE1	-1.046264284	-0.543267081	0.313952892	0.313952892	1	1	1	3044	14790
GLCCI1	-1.044654729	-0.455167004	0.25724295	0.25724295	1	1	1	3045	14789
EIF2AK3	-1.044620314	-0.454393803	0.256805551	0.256805551	1	1	1	3046	14788
STH	-1.044052678	-0.589892355	0.351330683	0.351330683	1	1	1	3047	14787
AK1	-1.043035512	-0.361492436	0.20808859	0.20808859	1	1	1	3048	14786
BDH2	-1.042890318	-0.375405712	0.21493809	0.21493809	1	1	1	3049	14785
ZFAND6	-1.042536275	-0.453021918	0.25722717	0.25722717	1	1	1	3050	14784
PKD2L1	-1.040993727	-0.485826802	0.278405051	0.278405051	1	1	1	3051	14783
PI4K2B	-1.040658923	-0.21973115	0.150933131	0.150933131	1	0.934016342	1	3052	14782
YBX1	-1.039191126	-0.669415709	0.426700169	0.426700169	1	1	1	3053	14781
TBC1D31	-1.038702172	-0.380229178	0.219446747	0.219446747	1	1	1	3054	14780
ADAP2	-1.038067598	-0.543809754	0.32033663	0.32033663	1	1	1	3055	14779
HSPB1	-1.036560243	-0.364695345	0.212780118	0.212780118	1	1	1	3056	14778
COG1	-1.03609937	-0.510423319	0.297973899	0.297973899	1	1	1	3057	14777
TMEM88B	-1.034329215	-0.578438605	0.349933323	0.349933323	1	1	1	3058	14776
CCR10	-1.033918518	-0.601938261	0.369744993	0.369744993	1	1	1	3059	14775
GLCE	-1.032723605	-0.391285501	0.228229432	0.228229432	1	1	1	3060	14774
TFRC	-1.032692046	-0.573709542	0.347450163	0.347450163	1	1	1	3061	14773
FCGR2A	-1.031519289	-0.146399531	0.130180748	0.130180748	0.915062385	1	1	3062	14772
ALDH2	-1.030230435	-0.606639195	0.376958522	0.376958522	1	1	1	3063	14771
LCNL1	-1.029838762	-0.41265433	0.241343528	0.241343528	1	1	1	3064	14770
MRPL30	-1.028999167	-0.528054801	0.315440881	0.315440881	1	1	1	3065	14769
UQCC2	-1.028463344	-0.384478406	0.226894357	0.226894357	1	1	1	3066	14768
FCGR2B	-1.027424127	-0.461375849	0.271513731	0.271513731	1	1	1	3067	14767
KLRF2	-1.025468527	-0.473559829	0.280502349	0.280502349	1	1	1	3068	14766
ST7L	-1.024804739	-0.588495091	0.366076401	0.366076401	1	1	1	3069	14765
C16orf87	-1.022743624	-0.476506327	0.284190733	0.284190733	1	1	1	3070	14764
TELO2	-1.022578276	-0.599888119	0.377741662	0.377741662	1	1	1	3071	14763
HPX	-1.02248342	-0.554406834	0.340248166	0.340248166	1	1	1	3072	14762
UCHL5	-1.022400932	-0.613690257	0.39010185	0.39010185	1	1	1	3073	14761
CEACAM18	-1.021616601	-0.558403244	0.344080803	0.344080803	1	1	1	3074	14760
SMIM20	-1.020345975	-0.456648672	0.27298805	0.27298805	1	1	1	3075	14759
IER2	-1.019629107	-0.659154332	0.43593889	0.43593889	1	0.314445357	1	3076	14758
MC2R	-1.018505776	-0.77035833	0.564645207	0.564645207	1	1	1	3077	14757
LMBRD1	-1.018235672	-0.477359767	0.287722072	0.287722072	1	1	1	3078	14756
LGALS9	-1.01727024	-0.547176284	0.338670858	0.338670858	1	1	1	3079	14755
WFDC10B	-1.016924555	-0.350727558	0.215576587	0.215576587	1	1	1	3080	14754
TIGD2	-1.016237731	-0.37510642	0.228390785	0.228390785	1	1	1	3081	14753
AMDHD2	-1.01561552	-0.547013874	0.339836935	0.339836935	1	1	1	3082	14752
GSTM3	-1.013746726	-0.507364933	0.311514894	0.311514894	1	1	1	3083	14751
GIMAP4	-1.01304934	-0.778165405	0.582158804	0.582158804	1	1	1	3084	14750
PDZD3	-1.012968388	-0.643966016	0.427460551	0.427460551	1	1	1	3085	14749
C6orf62	-1.011430427	-0.289152409	0.189449211	0.189449211	1	1	1	3086	14748
XRCC4	-1.011113083	-0.562680802	0.355996512	0.355996512	1	1	1	3087	14747
SLC6A16	-1.00501665	-0.247661247	0.174741529	0.174741529	1	1	1	3088	14746
PPP1CB	-1.004024506	-0.506135252	0.317668429	0.317668429	1	1	1	3089	14745
TASP1	-1.002935694	-0.30140159	0.198722667	0.198722667	1	1	1	3090	14744
SPATS2	-1.002066987	-0.389263022	0.243791146	0.243791146	1	1	1	3091	14743
PRKRIP1	-1.00078567	-0.384039449	0.241587272	0.241587272	1	1	1	3092	14742
H6PD	-1.000336852	-0.35118406	0.224209263	0.224209263	1	1	1	3093	14741
GCKR	-0.999027714	-0.173607491	0.14937886	0.14937886	1	0.185092312	1	3094	14740
UPK1B	-0.9989451	-0.484933	0.306087812	0.306087812	1	1	1	3095	14739
ARF5	-0.998844837	-0.31478199	0.20688418	0.20688418	1	1	1	3096	14738
TIFAB	-0.997061908	-0.203699017	0.160830037	0.160830037	1	1	1	3097	14737
CFAP20	-0.996552867	-0.402667964	0.25465053	0.25465053	1	1	1	3098	14736
LRRC41	-0.995937743	-0.219851992	0.167361219	0.167361219	1	1	1	3099	14735
NLK	-0.99575576	-0.702577442	0.509021787	0.509021787	1	1	1	3100	14734
PBX3	-0.995590051	-0.531223588	0.343168172	0.343168172	1	1	1	3101	14733
HIST1H3H	-0.995248411	-0.511788164	0.328403312	0.328403312	1	1	1	3102	14732
NUP210	-0.994758228	-0.492195449	0.314267196	0.314267196	1	1	1	3103	14731
UHRF2	-0.993961617	-0.473753259	0.301750321	0.301750321	1	1	1	3104	14730
WBP2	-0.993701023	-0.406993471	0.258895637	0.258895637	1	1	1	3105	14729
TGIF1	-0.992953894	-0.542352189	0.354222144	0.354222144	1	1	1	3106	14728
TNFSF4	-0.992902553	-0.589560804	0.394955626	0.394955626	1	1	1	3107	14727
ZNF629	-0.992434838	-0.633210196	0.437195853	0.437195853	1	1	1	3108	14726
TMX1	-0.992175357	-0.183319444	0.155190214	0.155190214	1	0.671257625	1	3109	14725
TBC1D9	-0.99193905	-0.630057498	0.434528748	0.434528748	1	1	1	3110	14724
PPP3R1	-0.991913791	-0.307598864	0.206764074	0.206764074	1	1	1	3111	14723
ZAR1	-0.991714142	-0.508941571	0.328923887	0.328923887	1	1	1	3112	14722
HMGCL	-0.990891449	-0.578688892	0.386977069	0.386977069	1	1	1	3113	14721
SPAG9	-0.990868035	-0.489286777	0.31497848	0.31497848	1	1	1	3114	14720
RANBP3	-0.989702608	-0.64958444	0.456863836	0.456863836	1	1	1	3115	14719
CNDP2	-0.988357829	-0.595341683	0.404460851	0.404460851	1	1	1	3116	14718
ZC3H12D	-0.988354985	-0.546358483	0.361312774	0.361312774	1	1	1	3117	14717
NR6A1	-0.987539341	-0.316690269	0.213278633	0.213278633	1	1	1	3118	14716
IRF2BP2	-0.986829929	-0.505591625	0.330088313	0.330088313	1	1	1	3119	14715
COPS6	-0.986304477	-0.119021741	0.135642944	0.135642944	0.942681458	1	1	3120	14714
MMD2	-0.986264143	-0.435394433	0.281174454	0.281174454	1	1	1	3121	14713
PI4KB	-0.98502953	-0.630785977	0.442240238	0.442240238	1	1	1	3122	14712
C6orf203	-0.984512542	-0.578073041	0.392147784	0.392147784	1	1	1	3123	14711
SYT14	-0.982042756	-0.530969637	0.353837746	0.353837746	1	1	1	3124	14710
CAMSAP3	-0.981595921	-0.404890397	0.264929658	0.264929658	1	1	1	3125	14709
LOC100144595	-0.981509774	-0.431696386	0.281859422	0.281859422	1	1	1	3126	14708
DENND4A	-0.980754439	-0.3943409	0.259071034	0.259071034	1	1	1	3127	14707
KIF5C	-0.980576143	-0.538355016	0.361125892	0.361125892	1	1	1	3128	14706
RBM27	-0.980274605	-0.490579835	0.323721164	0.323721164	1	1	1	3129	14705
DDAH1	-0.979930906	-0.222310141	0.174634731	0.174634731	1	1	1	3130	14704
PHF12	-0.978973173	-0.559481552	0.380534702	0.380534702	1	1	1	3131	14703
METTL21B	-0.978924185	-0.437433154	0.287314695	0.287314695	1	1	1	3132	14702
CERCAM	-0.97850168	-0.230244485	0.17844299	0.17844299	1	1	1	3133	14701
CHIC2	-0.978478499	-0.782653674	0.636952427	0.636952427	1	1	1	3134	14700
UBE2V2	-0.977514129	-0.629764778	0.448904454	0.448904454	1	1	1	3135	14699
KCNA3	-0.975268775	-0.481071224	0.32038112	0.32038112	1	1	1	3136	14698
STAM	-0.97523465	-0.377933889	0.252654699	0.252654699	1	1	1	3137	14697
TIGAR	-0.97469678	-0.610583246	0.432300778	0.432300778	1	1	1	3138	14696
KIAA1161	-0.973667599	-0.411056924	0.273672187	0.273672187	1	1	1	3139	14695
H2AFY2	-0.97324479	-0.411204959	0.274032275	0.274032275	1	1	1	3140	14694
CCDC178	-0.97321676	-0.371633644	0.250174662	0.250174662	1	1	1	3141	14693
MBNL3	-0.973109904	-0.217260428	0.175348849	0.175348849	1	1	1	3142	14692
BNC2	-0.972824684	-0.293195379	0.209008022	0.209008022	1	1	1	3143	14691
PYGM	-0.972621661	-0.524997347	0.356659614	0.356659614	1	1	1	3144	14690
KCNJ5	-0.97220068	-0.189960955	0.165005019	0.165005019	1	1	1	3145	14689
AHCYL1	-0.972019354	-0.246043064	0.187841942	0.187841942	1	1	1	3146	14688
TMEM126B	-0.971258773	-0.552568105	0.381237339	0.381237339	1	1	1	3147	14687
HNRNPR	-0.970436018	-0.64809543	0.4759575	0.4759575	1	1	1	3148	14686
LY75-CD302	-0.970347342	-0.375378768	0.254015658	0.254015658	1	1	1	3149	14685
CCNB1IP1	-0.96998991	-0.267879287	0.198458908	0.198458908	1	0.965997222	1	3150	14684
CNGA2	-0.968591337	-0.185639923	0.164734679	0.164734679	1	0.282476565	1	3151	14683
GJB4	-0.965632728	-0.260489126	0.197077065	0.197077065	1	1	1	3152	14682
ATP8A1	-0.964542967	-0.485889388	0.332059304	0.332059304	1	1	1	3153	14681
KCNF1	-0.964490572	-0.378378636	0.259251082	0.259251082	1	1	1	3154	14680
MRPL15	-0.964396671	-0.600511677	0.432528381	0.432528381	1	1	1	3155	14679
SNX10	-0.96327398	-0.402337402	0.274729547	0.274729547	1	0.280249692	1	3156	14678
FCHO1	-0.961644541	-0.300944116	0.218323607	0.218323607	1	0.429746277	1	3157	14677
MYO6	-0.961511227	-0.426271463	0.291481682	0.291481682	1	1	1	3158	14676
IMPG1	-0.961125116	-0.254901556	0.196587355	0.196587355	1	1	1	3159	14675
TARS	-0.960175572	-0.316698854	0.227160146	0.227160146	1	1	1	3160	14674
SGMS1	-0.960013839	-0.59497382	0.431379315	0.431379315	1	1	1	3161	14673
DNAH2	-0.958788692	-0.547440389	0.387739196	0.387739196	1	1	1	3162	14672
SYMPK	-0.95685736	-0.781390986	0.667526592	0.667526592	1	1	1	3163	14671
BCLAF1	-0.956413173	-0.45341597	0.313952892	0.313952892	1	1	1	3164	14670
B3GAT3	-0.953413075	-0.373449847	0.262949071	0.262949071	1	1	1	3165	14669
MAGEA1	-0.953404051	-0.258923048	0.201977982	0.201977982	1	1	1	3166	14668
PLEKHH3	-0.953234262	-0.477593486	0.334371582	0.334371582	1	1	1	3167	14667
GMCL1	-0.953020279	-0.514259645	0.364015667	0.364015667	1	1	1	3168	14666
ZZZ3	-0.952553975	-0.577852743	0.421886704	0.421886704	1	1	1	3169	14665
ABCA7	-0.952456221	-0.062101011	0.128619632	0.128619632	0.905538165	0.534336512	1	3170	14664
PEX7	-0.952426322	-0.339100263	0.243498125	0.243498125	1	1	1	3171	14663
OTUD4	-0.951796929	-0.561568209	0.407065788	0.407065788	1	1	1	3172	14662
KCTD6	-0.951024663	-0.225943149	0.188229558	0.188229558	1	1	1	3173	14661
C20orf144	-0.95088042	-0.460189936	0.322979585	0.322979585	1	1	1	3174	14660
SCUBE1	-0.949154199	-0.510411557	0.364030751	0.364030751	1	1	1	3175	14659
LOC389602	-0.948532793	-0.280294068	0.214565017	0.214565017	1	1	1	3176	14658
NDUFS1	-0.947487231	-0.383417127	0.27275373	0.27275373	1	1	1	3177	14657
BTN3A3	-0.94667905	-0.248808188	0.200406815	0.200406815	1	0.657296128	1	3178	14656
PITPNM1	-0.946216507	-0.075905221	0.134699634	0.134699634	0.938319756	0.882341378	1	3179	14655
NMI	-0.946162226	-0.300923468	0.226239963	0.226239963	1	1	1	3180	14654
KLF9	-0.942823579	-0.535054647	0.390948899	0.390948899	1	1	1	3181	14653
SMARCA1	-0.941818719	-0.203541004	0.182593159	0.182593159	1	1	1	3182	14652
SNTG1	-0.94167659	-0.15436344	0.163087485	0.163087485	1	0.712233181	1	3183	14651
FCGR2C	-0.94111746	-0.315395576	0.236643528	0.236643528	1	1	1	3184	14650
GS1-259H13.2	-0.940361561	-0.632614573	0.492226272	0.492226272	1	1	1	3185	14649
E2F7	-0.939928919	-0.231698872	0.195680734	0.195680734	1	1	1	3186	14648
PPT2	-0.938997459	-0.664399214	0.531275779	0.531275779	1	1	1	3187	14647
DUOX1	-0.938976671	-0.451611346	0.325462725	0.325462725	1	1	1	3188	14646
PRSS54	-0.938553278	-0.40497657	0.292600384	0.292600384	1	1	1	3189	14645
C1QTNF8	-0.937487978	-0.381199018	0.277686438	0.277686438	1	1	1	3190	14644
FAM170A	-0.936976888	-0.28261348	0.221534106	0.221534106	1	1	1	3191	14643
PSAT1	-0.936532185	-0.383632126	0.279862551	0.279862551	1	1	1	3192	14642
SERPINE1	-0.93647064	-0.556343057	0.416646937	0.416646937	1	1	1	3193	14641
ANGPTL4	-0.935759973	-0.52760244	0.39059915	0.39059915	1	1	1	3194	14640
SOCS7	-0.934692802	-0.134139547	0.158187546	0.158187546	1	0.813672355	1	3195	14639
ADIPOR1	-0.933454632	-0.318882074	0.242799959	0.242799959	1	1	1	3196	14638
PHYH	-0.93227456	-0.494465456	0.364814311	0.364814311	1	1	1	3197	14637
CAPN6	-0.932186355	-0.296449475	0.2312466	0.2312466	1	1	1	3198	14636
EPAS1	-0.931663359	-0.298650721	0.232702351	0.232702351	1	1	1	3199	14635
EXTL2	-0.931062	-0.128309131	0.157387878	0.157387878	1	0.64077463	1	3200	14634
PSMA3	-0.931032021	-0.540272625	0.406568565	0.406568565	1	0.9082784	1	3201	14633
AGTRAP	-0.930561692	-0.479465517	0.353818956	0.353818956	1	1	1	3202	14632
GNB4	-0.930006522	-0.690623398	0.576157878	0.576157878	1	1	1	3203	14631
MRTO4	-0.929558029	-0.564228892	0.431092167	0.431092167	1	1	1	3204	14630
CCDC63	-0.929548181	-0.442730084	0.325873206	0.325873206	1	1	1	3205	14629
NUDCD1	-0.928096931	-0.522723847	0.393112138	0.393112138	1	1	1	3206	14628
ZFYVE19	-0.927862289	-0.343594726	0.260354843	0.260354843	1	0.968673592	1	3207	14627
DDX19A	-0.926983911	-0.630244173	0.50486382	0.50486382	1	1	1	3208	14626
GCNT2	-0.926778151	-0.605054684	0.476634447	0.476634447	1	1	1	3209	14625
GAL3ST1	-0.926436257	-0.432383998	0.320488354	0.320488354	1	1	1	3210	14624
THRB	-0.925807113	-0.412969063	0.306916665	0.306916665	1	1	1	3211	14623
MTRR	-0.925774141	-0.458329159	0.340743502	0.340743502	1	1	1	3212	14622
ASCC1	-0.925640078	-0.320826502	0.248319924	0.248319924	1	0.726899244	1	3213	14621
CDCA2	-0.925420311	-0.520880395	0.393867216	0.393867216	1	1	1	3214	14620
KIF20A	-0.925243031	-0.358159404	0.270866981	0.270866981	1	1	1	3215	14619
WDR45	-0.924858305	-0.205589112	0.190766982	0.190766982	1	1	1	3216	14618
TSGA10	-0.924402563	-0.424403788	0.316128658	0.316128658	1	1	1	3217	14617
ZCWPW1	-0.923992871	-0.111206979	0.153791314	0.153791314	1	0.82196158	1	3218	14616
DDIAS	-0.923852176	-0.515820548	0.390712434	0.390712434	1	1	1	3219	14615
RNLS	-0.922957603	-0.139885105	0.164688728	0.164688728	1	0.74784422	1	3220	14614
UBAP1	-0.921385584	-0.592997812	0.469374737	0.469374737	1	1	1	3221	14613
ZNF511	-0.921128895	-0.660830445	0.549063356	0.549063356	1	1	1	3222	14612
CCDC91	-0.921011109	-0.492041847	0.372318064	0.372318064	1	1	1	3223	14611
SLC39A14	-0.921008107	-0.160189163	0.173352697	0.173352697	1	0.655514166	1	3224	14610
CALN1	-0.920186321	-0.38998844	0.294886485	0.294886485	1	1	1	3225	14609
EEF2KMT	-0.920084819	-0.510369634	0.389200368	0.389200368	1	1	1	3226	14608
MAPK6	-0.919910612	-0.315024973	0.248278706	0.248278706	1	1	1	3227	14607
LCT	-0.919843	-0.39537767	0.298806026	0.298806026	1	1	1	3228	14606
LMTK2	-0.919818627	-0.379273111	0.287941115	0.287941115	1	1	1	3229	14605
PPARGC1A	-0.919716519	-0.451836941	0.340402592	0.340402592	1	1	1	3230	14604
SCG3	-0.918691909	-0.467889871	0.354058738	0.354058738	1	1	1	3231	14603
EEA1	-0.917128361	-0.335822973	0.262137389	0.262137389	1	1	1	3232	14602
DPY19L1	-0.916623317	-0.456774969	0.346757949	0.346757949	1	1	1	3233	14601
LASP1	-0.916090576	-0.5673267	0.44785679	0.44785679	1	1	1	3234	14600
C1orf109	-0.915253926	-0.624093656	0.511393041	0.511393041	1	0.983174036	1	3235	14599
LZTS1	-0.914970265	-0.333185566	0.261848129	0.261848129	1	1	1	3236	14598
MTFR1L	-0.913421464	-0.432387773	0.330243913	0.330243913	1	1	1	3237	14597
GTSCR1	-0.912182409	-0.405336354	0.311181955	0.311181955	1	1	1	3238	14596
IQCC	-0.912092085	-0.287452437	0.237234215	0.237234215	1	1	1	3239	14595
MCUR1	-0.912040334	-0.344621331	0.270657813	0.270657813	1	0.854279935	1	3240	14594
C12orf71	-0.911618304	-0.006647247	0.124359755	0.124359755	0.882638891	0.634393953	1	3241	14593
ARMC6	-0.911467373	-0.511362188	0.397910762	0.397910762	1	1	1	3242	14592
KRT222	-0.911049091	-0.373643964	0.290031493	0.290031493	1	1	1	3243	14591
DZIP3	-0.910835612	-0.368813765	0.286963617	0.286963617	1	1	1	3244	14590
SP100	-0.910785173	-0.713701669	0.635108785	0.635108785	1	1	1	3245	14589
SLC22A18	-0.909853643	-0.244543109	0.216017267	0.216017267	1	1	1	3246	14588
OBFC1	-0.909560711	-0.557525399	0.444495117	0.444495117	1	1	1	3247	14587
CXCR4	-0.908824849	-0.263247169	0.226063397	0.226063397	1	1	1	3248	14586
DUS1L	-0.907855171	-0.552282924	0.440888997	0.440888997	1	1	1	3249	14585
